CWNS_ID,DUMMY_ID,FACILITY_NAME,PERMIT_NUMBER,TOTAL_RES_POPULATION_2022,FACILITY_TYPE,CURRENT_DESIGN_FLOW,COUNTY_NAME,STATE_CODE
6000000122,6000000122d1,Reuse: Landscape-related irrigation,,10481.0,Reuse,,,CA
6000000124,6000000124d1,Reuse: Landscape-related irrigation,,41365.0,Reuse,,Riverside,CA
6000000124,6000000124d2,Outfall To Surface Waters,,41365.0,Other,,Riverside,CA
6000000124,6000000124d3,Reuse: Environmental restoration and groundwater discharge,,41365.0,Reuse,,Riverside,CA
6000000132,6000000132d1,Reuse: Potable,,0.0,Reuse,,Riverside,CA
6000000140,6000000140d1,Evaporation,,23400.0,Other,,Fresno,CA
6000000308,6000000308d1,Reuse: Other Centralized Non-Potable,,0.0,Reuse,,Los Angeles,CA
6001010005,6001010005d1,Outfall To Surface Waters,,41400.0,Other,,Humboldt,CA
6001064001,6001064001d1,Evaporation,,760.0,Other,,Siskiyou,CA
6002011001,6002011001d1,Ocean Discharge,,37523.0,Ocean Discharge,,San Mateo,CA
6002024001,6002024001d1,Outfall To Surface Waters,,19710.0,Other,,Contra Costa,CA
6002025001,6002025001d1,Outfall To Surface Waters,,552952.0,Other,,Contra Costa,CA
6002025001,6002025001d2,Reuse: Irrigation,,552952.0,Reuse,,Contra Costa,CA
6002032002,6002032002d1,Outfall To Surface Waters,,0.0,Other,,San Francisco,CA
6002032003,6002032003d1,Ocean Discharge,,585360.0,Ocean Discharge,,San Francisco,CA
6002032005,6002032005d1,Ocean Discharge,,225000.0,Ocean Discharge,,San Francisco,CA
6002034002,6002034002d1,Ocean Discharge,,3811.0,Ocean Discharge,,,CA
6002036001,6002036001d1,Reuse: Landscape-related irrigation,,1134202.0,Reuse,,Alameda,CA
6002036001,6002036001d2,Outfall To Surface Waters,,1134202.0,Other,,Alameda,CA
6002038001,6002038001d1,Outfall To Surface Waters,,131400.0,Other,,Solano,CA
6002038001,6002038001d2,Reuse: Irrigation,,131400.0,Reuse,,Solano,CA
6002039001,6002039001d1,Outfall To Surface Waters,,20270.0,Other,,San Mateo,CA
6002044004,6002044004d1,Outfall To Surface Waters,,54611.0,Other,,Contra Costa,CA
6002057001,6002057001d1,Reuse: Industrial,,90000.0,Reuse,,Contra Costa,CA
6002057001,6002057001d2,Ocean Discharge,,90000.0,Ocean Discharge,,Contra Costa,CA
6002058001,6002058001d1,Ocean Discharge,,22558.0,Ocean Discharge,,,CA
6002071001,6002071001d1,Outfall To Surface Waters,,51332.0,Other,,Marin,CA
6002071001,6002071001d2,Reuse: Landscape-related irrigation,,51332.0,Reuse,,Marin,CA
6002108001,6002108001d1,Reuse: Landscape-related irrigation,,27000.0,Reuse,,Marin,CA
6002108001,6002108001d2,Outfall To Surface Waters,,27000.0,Other,,Marin,CA
6002125001,6002125001d1,Ocean Discharge,,132161.0,Ocean Discharge,,,CA
6003027001,6003027001d1,Outfall To Surface Waters,,34557.0,Other,,San Luis Obispo,CA
6003027001,6003027001d2,Reuse: Landscape-related irrigation,,34557.0,Reuse,,San Luis Obispo,CA
6003037001,6003037001d1,Reuse: Landscape-related irrigation,,86400.0,Reuse,,Santa Barbara,CA
6003037001,6003037001d2,Ocean Discharge,,86400.0,Ocean Discharge,,Santa Barbara,CA
6003060001,6003060001d1,Reuse: Agricultural-related and livestock watering,,95848.0,Reuse,,Santa Clara,CA
6003060001,6003060001d2,Reuse: Environmental restoration and groundwater discharge,,95848.0,Reuse,,Santa Clara,CA
6003060001,6003060001d3,Outfall To Surface Waters,,95848.0,Other,,Santa Clara,CA
6004002001,6004002001d1,Outfall To Surface Waters,,20700.0,Other,,Ventura,CA
6004006001,6004006001d1,Reuse: Landscape-related irrigation,,102082.0,Reuse,,Ventura,CA
6004006001,6004006001d2,Outfall To Surface Waters,,102082.0,Other,,Ventura,CA
6004009001,6004009001d1,Ocean Discharge,,3353576.0,Ocean Discharge,,Los Angeles,CA
6004009002,6004009002d1,Outfall To Surface Waters,,311175.0,Other,,San Bernardino,CA
6004009002,6004009002d2,Reuse: Industrial,,311175.0,Reuse,,San Bernardino,CA
6004009002,6004009002d3,Reuse: Irrigation,,311175.0,Reuse,,San Bernardino,CA
6004009002,6004009002d4,Reuse: Impoundments,,311175.0,Reuse,,San Bernardino,CA
6004009003,6004009003d1,Outfall To Surface Waters,,936523.0,Other,,Los Angeles,CA
6004009003,6004009003d2,Reuse: Irrigation,,936523.0,Reuse,,Los Angeles,CA
6004009003,6004009003d3,Reuse: Impoundments,,936523.0,Reuse,,Los Angeles,CA
6004009006,6004009006d1,Outfall To Surface Waters,,189973.0,Other,,Orange,CA
6004009006,6004009006d2,Reuse: Industrial,,189973.0,Reuse,,Orange,CA
6004009006,6004009006d3,Reuse: Irrigation,,189973.0,Reuse,,Orange,CA
6004009006,6004009006d4,Reuse: Other Centralized Non-Potable,,189973.0,Reuse,,Orange,CA
6004010003,6004010003d1,Outfall To Surface Waters,,213774.0,Other,,Los Angeles,CA
6004010003,6004010003d2,Reuse: Irrigation,,213774.0,Reuse,,Los Angeles,CA
6004010004,6004010004d1,Outfall To Surface Waters,,919987.0,Other,,Los Angeles,CA
6004010004,6004010004d2,Reuse: Irrigation,,919987.0,Reuse,,Los Angeles,CA
6004014001,6004014001d1,Outfall To Surface Waters,,34200.0,Other,,Ventura,CA
6004014001,6004014001d2,Reuse: Agricultural-related and livestock watering,,34200.0,Reuse,,Ventura,CA
6004040001,6004040001d1,Reuse: Industrial,,15559.0,Reuse,,,CA
6004059001,6004059001d1,Reuse: Irrigation,,0.0,Reuse,,,CA
6005001001,6005001001d1,Evaporation,,21316.0,Other,,Stanislaus,CA
