"CWNS_ID","FACILITY_ID","STATE_CODE","INFRASTRUCTURE_TYPE","POPULATION_TYPE","RESIDENTIAL_POP_2022","RESIDENTIAL_POP_2042","NONRESIDENTIAL_POP_2022","NONRESIDENTIAL_POP_2042","TOTAL_RES_POPULATION_2022","TOTAL_RES_POPULATION_2042","TOTAL_NONRES_POPULATION_2022","TOTAL_NONRES_POPULATION_2042","TREATED_DISCHARGE_PERCENTAGE_2022","TREATED_DISCHARGE_PERCENTAGE_2042","NET_TREATED_POPULATION_2022","NET_TREATED_POPULATION_2042","NO_DISCHARGE_PERCENTAGE_2022","NO_DISCHARGE_PERCENTAGE_2042","NO_DISCHARGE_POPULATION_2022","NO_DISCHARGE_POPULATION_2042","PART_OF_SEWERSHED","END_FACILITY"
"22003281002",1168486,LA,Wastewater,Receiving Collection,1370,1370,,,1370,1370,0,0,0,0,0,0,,,,,Y,
"22003311001",1168512,LA,Wastewater,Receiving Collection,6997,6997,,,6997,6997,0,0,1,1,6997,6997,,,,,,Y
"22003346001",1168533,LA,Wastewater,Receiving Collection,3070,3070,,,3070,3070,0,0,1,0,3070,0,,,,,Y,
"49000060001",1170415,UT,Wastewater,Receiving Collection,6000,9516,,,6000,9516,0,0,0,0,0,0,,,,,Y,
"40000030001",1172451,OK,Wastewater,Receiving Collection,1469,1469,,,1469,1469,0,0,1,1,1469,1469,1,1,1469,1469,,Y
"40000367001",1172644,OK,Wastewater,Receiving Collection,137,137,,,137,137,0,0,1,1,137,137,1,1,137,137,,Y
"40000438001",1172687,OK,Wastewater,Receiving Collection,252,252,,,252,252,0,0,1,1,252,252,1,1,252,252,,Y
"40000533001",1172749,OK,Wastewater,Receiving Collection,392,392,,,392,392,0,0,1,1,392,392,,,,,,Y
"40000570001",1172764,OK,Wastewater,Receiving Collection,684,684,,,684,684,0,0,1,1,684,684,,,,,,Y
"40000640001",1172799,OK,Wastewater,Receiving Collection,1439,1439,,,1439,1439,0,0,1,1,1439,1439,,,,,,Y
"40000804001",1172879,OK,Wastewater,Receiving Collection,7522,7522,,,7522,7522,0,0,1,1,7522,7522,,,,,,Y
"06001085001",1175236,CA,Wastewater,Receiving Collection,295,295,28,28,295,295,28,28,1,1,295,295,1,1,295,295,,Y
"06003018001",1175385,CA,Wastewater,Receiving Collection,5670,9720,,,5670,9720,0,0,0,0,0,0,,,,,Y,
"06003030001",1175398,CA,Wastewater,Receiving Collection,5400,4770,,,5400,4770,0,0,1,1,5400,4770,1,1,5400,5400,,Y
"06003039003",1175406,CA,Wastewater,Receiving Collection,5735,5735,8679,8679,5735,5735,8679,8679,0,0,0,0,,,,,Y,
"06004009002",1175478,CA,Wastewater,Receiving Collection,113984,124081,,,311175,330806,0,0,0.95,0.95,295616,314266,0.35,0.35,103466,103466,Y,
"06006027001",1175883,CA,Wastewater,Receiving Collection,766,711,,,766,711,0,0,1,1,766,711,1,1,766,766,,Y
"06008019001",1175972,CA,Wastewater,Receiving Collection,58500,65700,,,58500,65700,0,0,1,1,58500,65700,0.25,0.25,14625,14625,,Y
"46000023001",1179128,SD,Wastewater,Receiving Collection,734,734,,,734,734,0,0,1,1,734,734,1,1,734,734,,Y
"46000079001",1179182,SD,Wastewater,Receiving Collection,1824,1824,,,1824,1824,0,0,1,1,1824,1824,,,,,,Y
"46000089001",1179189,SD,Wastewater,Receiving Collection,14997,17449,,,14997,17449,0,0,1,1,14997,17449,,,,,,Y
"53000950001",1180872,WA,Wastewater,Receiving Collection,4888,4888,,,4888,4888,0,0,0,0,0,0,,,,,Y,
"53000982004",1180883,WA,Wastewater,Receiving Collection,498,498,54,54,498,498,54,54,1,1,498,498,,,,,,Y
"53002400001",1181064,WA,Wastewater,Receiving Collection,8535,8535,,,8535,8535,0,0,0,0,0,0,,,,,Y,
"53002570001",1181089,WA,Wastewater,Receiving Collection,356,356,,,356,356,0,0,1,1,356,356,,,,,,Y
"53002633001",1181099,WA,Wastewater,Receiving Collection,2050,2050,,,2050,2050,0,0,1,1,2050,2050,1,1,2050,2050,,Y
"48000136001",1182822,TX,Wastewater,Receiving Collection,5739,5739,,,5739,5739,0,0,1,1,5739,5739,1,1,5739,5739,,Y
"48001127001",1182930,TX,Wastewater,Receiving Collection,67211,67211,,,67211,67211,0,0,1,1,67211,67211,,,,,,Y
"48003029001",1183192,TX,Wastewater,Receiving Collection,1389,1389,,,1389,1389,0,0,1,1,1389,1389,,,,,,Y
"48003060001",1183218,TX,Wastewater,Receiving Collection,383,383,,,383,383,0,0,1,1,383,383,,,,,,Y
"48003076001",1183227,TX,Wastewater,Receiving Collection,2049,2049,,,2049,2049,0,0,1,1,2049,2049,,,,,,Y
"48004111002",1183420,TX,Wastewater,Receiving Collection,10765,10765,,,12767,12767,0,0,1,1,12767,12767,,,,,Y,Y
"48005010001",1183572,TX,Wastewater,Receiving Collection,4500,4500,,,4500,4500,0,0,1,1,4500,4500,,,,,,Y
"48005036001",1183593,TX,Wastewater,Receiving Collection,3045,3045,,,3045,3045,0,0,1,1,3045,3045,,,,,,Y
"48006066002",1183724,TX,Wastewater,Receiving Collection,1067,1067,,,1067,1067,0,0,1,1,1067,1067,,,,,,Y
"48007021003",1183795,TX,Wastewater,Receiving Collection,15048,15048,,,15048,15048,0,0,1,1,15048,15048,,,,,,Y
"48007039043",1183838,TX,Wastewater,Receiving Collection,50000,50000,,,50000,50000,0,0,1,1,50000,50000,,,,,,Y
"48007142001",1183956,TX,Wastewater,Receiving Collection,7408,7408,6945,6945,7408,7408,6945,6945,1,1,7408,7408,,,,,,Y
"48007682001",1184211,TX,Wastewater,Receiving Collection,1505,1505,,,1505,1505,0,0,0,0,0,0,,,,,Y,
"48007709001",1184229,TX,Wastewater,Receiving Collection,5000,5000,,,5000,5000,0,0,1,1,5000,5000,,,,,,Y
"48007900001",1184333,TX,Wastewater,Receiving Collection,810,810,,,810,810,0,0,0,0,0,0,,,,,Y,
"48008015001",1184357,TX,Wastewater,Receiving Collection,968862,968862,,,1161197,1161197,579,579,0,0,0,0,,,,,Y,
"48008015004",1184360,TX,Wastewater,Receiving Collection,50000,50000,,,50000,50000,0,0,1,1,50000,50000,,,,,,Y
