"CWNS_ID","FACILITY_ID","STATE_CODE","DISCHARGE_TYPE","PRESENT_DISCHARGE_PERCENTAGE","PROJECTED_DISCHARGE_PERCENTAGE","DISCHARGES_TO_CWNSID"
"01000004002",1101828,AL,Outfall To Surface Waters,100,100,
"01000043001",1101871,AL,Outfall To Surface Waters,100,100,
"05000008003",1104867,AR,Outfall To Surface Waters,100,100,
"05000139001",1104971,AR,Outfall To Surface Waters,100,100,
"05000175001",1105006,AR,Outfall To Surface Waters,100,100,
"05000281001",1105108,AR,Outfall To Surface Waters,100,100,
"36003057002",1220421,NY,Outfall To Surface Waters,100,100,
"36003072002",1220479,NY,Outfall To Surface Waters,100,100,
"36003099001",1220526,NY,Outfall To Surface Waters,100,100,
"36004003001",1220693,NY,Discharge To Another Facility,100,100,"36004064001"
"36004065001",1220764,NY,Outfall To Surface Waters,100,100,
"36004069001",1220770,NY,Outfall To Surface Waters,100,100,
"36004096001",1220784,NY,Discharge To Another Facility,100,100,"36004025001"
"36005032001",1220846,NY,Outfall To Surface Waters,100,0,
"36005034001",1220848,NY,Outfall To Surface Waters,100,100,
"36006011001",1220941,NY,Discharge To Another Facility,100,100,"36006005001"
"36006145001",1221033,NY,Outfall To Surface Waters,100,100,
"36007011001",1221057,NY,Outfall To Surface Waters,100,100,
"36007024001",1221068,NY,Outfall To Surface Waters,100,100,
"36007029001",1221072,NY,Outfall To Surface Waters,100,100,
"36007113001",1221105,NY,Outfall To Surface Waters,100,100,
"36008076001",1221270,NY,Discharge To Another Facility,100,100,"36000000320"
"36008091001",1221279,NY,Outfall To Surface Waters,100,0,
"36008096001",1221283,NY,Outfall To Surface Waters,100,100,
"36009092001",1221438,NY,Outfall To Surface Waters,100,100,
"48001116001",1227766,TX,Outfall To Surface Waters,100,100,
"48003078001",1227815,TX,Outfall To Surface Waters,100,100,
"48004055001",1227838,TX,Outfall To Surface Waters,100,100,
"48005021001",1227872,TX,Outfall To Surface Waters,100,100,
"48005027001",1227874,TX,Outfall To Surface Waters,100,100,
"55003980001",1229224,WI,Outfall To Surface Waters,100,100,
"55004710001",1229242,WI,Outfall To Surface Waters,100,100,
"20000813001",1230910,KS,Outfall To Surface Waters,100,100,
"36003118002",1232115,NY,Outfall To Surface Waters,100,100,
"36008095001",1232173,NY,Outfall To Surface Waters,100,100,
"17001723001",1232730,IL,Outfall To Surface Waters,100,100,
"29004134001",1233304,MO,Outfall To Surface Waters,100,100,
"29004139001",1233306,MO,Outfall To Surface Waters,100,100,
"19000739001",1234679,IA,Outfall To Surface Waters,100,100,
"21000477001",1235529,KY,Outfall To Surface Waters,100,100,
"22000395001",1237406,LA,Outfall To Surface Waters,100,100,
"22003387001",1237439,LA,Outfall To Surface Waters,100,100,
"30000161001",1238254,MT,Reuse: Irrigation,100,100,
"24000068001",1238383,MD,Outfall To Surface Waters,100,100,
"24000093001",1238387,MD,Outfall To Surface Waters,100,100,
"54005301001",1239034,WV,Outfall To Surface Waters,100,100,
"39004581301",2806485,OH,Discharge To Another Facility,100,100,"39001666002"
"39004581601",2806488,OH,Discharge To Another Facility,100,100,"39000084001"
"30300257001",2824642,MT,Discharge To Another Facility,0,100,"30000060001"
"30300265001",2835248,MT,Reuse: Agricultural-related and livestock watering,100,100,
"48001093001",2864440,TX,Outfall To Surface Waters,100,100,
"48007902001",2865760,TX,Discharge To Another Facility,100,100,"48007224001"
"48003080002",2884102,TX,Outfall To Surface Waters,100,100,
"20001904001",2919048,KS,Discharge To Another Facility,100,100,"20000404001"
"35000062001",2923504,NM,Evaporation,100,100,
"12000185001",2942442,FL,Discharge To Another Facility,100,100,"12000193001"
"34008121002",3107612,NJ,Outfall To Surface Waters,100,100,
"48001117003",3148190,TX,Outfall To Surface Waters,100,100,
"48071120001",3150332,TX,Outfall To Surface Waters,100,100,
"39000278004",3297957,OH,Outfall To Surface Waters,100,100,
"39000088003",3364803,OH,Outfall To Surface Waters,100,100,
"39008235001",3374657,OH,Outfall To Surface Waters,100,100,
"54000208022",3407016,WV,Outfall To Surface Waters,100,100,
"37000106002",3488590,NC,Discharge To Another Facility,100,100,"37000104001"
"53200801001",3507359,WA,Reuse: Impoundments,100,0,
"01000027002",3507960,AL,Outfall To Surface Waters,100,100,
"41000051001",3508702,OR,Discharge To Another Facility,100,100,"41000045001"
"39009019003",3512703,OH,Discharge To Another Facility,100,100,"39009009001"
"51070000016",3514939,VA,Discharge To Another Facility,0,100,"51000013013"
"39000161004",3516356,OH,Outfall To Surface Waters,100,100,
"01000718002",3516697,AL,Outfall To Surface Waters,100,100,
"18080000024",3520483,IN,Outfall To Surface Waters,100,100,
"10000001045",3521298,DE,Discharge To Another Facility,100,100,"10000001002"
"17000703002",3521616,IL,Outfall To Surface Waters,100,100,
"21000604001",3521876,KY,Outfall To Surface Waters,100,100,
"17002075001",3525796,IL,Discharge To Another Facility,100,100,"17000431001"
"41000193901",3528396,OR,Outfall To Surface Waters,100,100,
"08201200028",3528636,CO,Discharge To Another Facility,100,100,"08105000000"
"32000200408",406785,NV,Reuse: Environmental restoration and groundwater discharge,50,50,
"32000200408",406785,NV,Reuse: Irrigation,50,50,
"12000302003",410513,FL,Outfall To Surface Waters,100,100,
"48001143002",428589,TX,Discharge To Another Facility,100,100,"48001143001"
"55001310010",434985,WI,Discharge To Another Facility,100,100,"55001310001"
"08194000000",462206,CO,Outfall To Surface Waters,100,100,
"51000447001",483952,VA,Outfall To Surface Waters,100,100,
"39008001004",1064161,OH,Discharge To Another Facility,100,100,"39005051002"
