"CWNS_ID","FACILITY_ID","STATE_CODE","INFRASTRUCTURE_TYPE","POPULATION_TYPE","RES_POP_PER_UNIT","RES_NUM_OF_UNIT_2022","RES_NUM_OF_UNIT_2042","RESIDENTIAL_POP_2022","RESIDENTIAL_POP_2042","NONRES_POP_PER_UNIT","NONRES_NUM_OF_UNIT_2022","NONRES_NUM_OF_UNIT_2042","NONRESIDENTIAL_POP_2022","NONRESIDENTIAL_POP_2042"
"19000000086",3608238,IA,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.52,712,1445,1794.24,3641.4,,,,,
"19000000079",3608231,IA,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.52,831,1703,2094.12,4291.56,,,,,
"19000000069",3608221,IA,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.52,963,1955,2426.76,4926.6,,,,,
"19000000066",3608218,IA,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.52,1022,2074,2575.44,5226.48,,,,,
"19000000062",3608214,IA,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.52,1104,2240,2782.08,5644.8,,,,,
"19000000060",3608212,IA,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.52,1124,2280,2832.48,5745.6,,,,,
"19000000059",3608211,IA,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.52,1131,2296,2850.12,5785.92,,,,,
"19000000058",3608210,IA,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.52,1135,2302,2860.2,5801.04,,,,,
"19000000057",3608209,IA,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.52,1159,2351,2920.68,5924.52,,,,,
"19000000054",3608206,IA,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.52,1259,2554,3172.68,6436.08,,,,,
"19000000045",3608197,IA,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.52,2047,4153,5158.44,10465.56,,,,,
"19000000040",3608192,IA,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.52,2405,4879,6060.6,12295.08,,,,,
"19000000038",3608190,IA,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.52,2865,5812,7219.8,14646.24,,,,,
"45000000092",3608889,SC,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.53,0,250,0,632.5,,,,,
"48000000105",3608881,TX,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,1,230,0,230,0,2.84,,,,
"45000000093",3608890,SC,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.53,0,8128,0,20563.84,,,,,
"45000000095",3608892,SC,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.53,0,1003,0,2537.59,,,,,
"45000000096",3608893,SC,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.53,0,2455,0,6211.15,,,,,
"45000000097",3608894,SC,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.53,0,3666,0,9274.98,,,,,
"45000000100",3608897,SC,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.53,0,2831,0,7162.43,,,,,
"45000000101",3608898,SC,Decentralized Wastewater Treatment,Onsite Wastewater Treatment Systems,2.53,0,1185,0,2998.05,,,,,
