"CWNS_ID","FACILITY_ID","STATE_CODE","COST_METHOD","FACILITY_DOCUMENT_CET_ID","FACILITY_DOCUMENT_COST_ID","CONSTRUCTION_TYPE","SIZING_METHOD","COUNTY_ID","COUNTY_NAME","NUM_HOME_SERVED","POP_SERVED","POP_PER_HOUSEHOLD"
"48000000470",3613952,TX,Decentralized,10645,52162,New,Number of Homes Served,2508,Comanche,1408,,2.43
"48000000471",3613954,TX,Decentralized,10646,52163,New,Number of Homes Served,2509,Concho,336,,2.41
"48000000472",3613955,TX,Decentralized,10647,52164,New,Number of Homes Served,2510,Cooke,2712,,2.57
"48000000473",3613957,TX,Decentralized,10648,52165,New,Number of Homes Served,2511,Coryell,2184,,2.71
"48000000475",3613959,TX,Decentralized,10649,52166,New,Number of Homes Served,2513,Crane,168,,3.31
"48000000476",3613960,TX,Decentralized,10650,52167,New,Number of Homes Served,2514,Crockett,12,,2.52
"48000000477",3613961,TX,Decentralized,10651,52168,New,Number of Homes Served,2515,Crosby,64,,2.79
"48000000478",3613962,TX,Decentralized,10652,52169,New,Number of Homes Served,2516,Culberson,92,,3.76
"48000000479",3613963,TX,Decentralized,10653,52170,New,Number of Homes Served,2517,Dallam,292,,3.07
"48000000480",3613964,TX,Decentralized,10654,52171,New,Number of Homes Served,2518,Dallas,1920,,2.78
"48000000481",3613965,TX,Decentralized,10655,52172,New,Number of Homes Served,2519,Dawson,444,,2.55
"48000000483",3613967,TX,Decentralized,10656,52173,New,Number of Homes Served,2521,Delta,300,,2.59
"48000000485",3614045,TX,Decentralized,10661,52187,New,Number of Homes Served,2522,DeWitt,520,,2.62
"48001549001",430568,TX,Decentralized,10662,52188,New,Number of Homes Served,2524,Dimmit,188,,3.27
"48000000489",3614049,TX,Decentralized,10664,52190,New,Number of Homes Served,2526,Eastland,468,,2.66
"48000000490",3614050,TX,Decentralized,10665,52192,New,Number of Homes Served,2527,Ector,9888,,3.03
"48000000491",3614051,TX,Decentralized,10666,52195,New,Number of Homes Served,2528,Edwards,748,,2.42
"48000000492",3614052,TX,Decentralized,10667,52197,New,Number of Homes Served,2529,El Paso,4624,,3.06
"48000000494",3614054,TX,Decentralized,10669,52201,New,Number of Homes Served,2530,Erath,4308,,2.92
"48000000495",3614055,TX,Decentralized,10670,52202,New,Number of Homes Served,2531,Falls,1240,,2.99
"48000000497",3614057,TX,Decentralized,10672,52208,New,Number of Homes Served,2532,Fayette,5208,,2.7
"48000000498",3614059,TX,Decentralized,10673,52209,New,Number of Homes Served,2533,Fisher,32,,2.39
"48000000499",3614060,TX,Decentralized,10674,52210,New,Number of Homes Served,2534,Floyd,52,,2.54
"48001151003",2865700,TX,Decentralized,10676,52212,New,Number of Homes Served,2535,Fort Bend,10296,,3.19
"48000000501",3614062,TX,Decentralized,10677,52213,New,Number of Homes Served,2536,Franklin,1236,,2.68
"48000000502",3614063,TX,Decentralized,10678,52214,New,Number of Homes Served,2537,Freestone,1056,,2.67
"48001151005",432052,TX,Decentralized,10679,52215,New,Number of Homes Served,2538,Frio,1160,,3.44
"48000000503",3614064,TX,Decentralized,10680,52216,New,Number of Homes Served,2539,Gaines,5140,,3.54
"48000000504",3614065,TX,Decentralized,10681,52217,New,Number of Homes Served,2540,Galveston,7852,,2.69
"48000000505",3614066,TX,Decentralized,10682,52218,New,Number of Homes Served,2541,Garza,92,,2.72
"48000000506",3614067,TX,Decentralized,10683,52219,New,Number of Homes Served,2542,Gillespie,6048,,2.44
"48000000507",3614068,TX,Decentralized,10684,52220,New,Number of Homes Served,2543,Glasscock,68,,3.75
